brand,segment,year_month,global_search_volume,segment_total_volume,market_share,qoq_growth,segment_cat_growth_rate,geo_diversity,seasonality_index,volume_last_year,yoy_growth,volume_last_month,mom_growth,contribution_cat_growth,segment_avg_volume,global_search_volume_norm,market_share_norm,yoy_growth_norm,qoq_growth_norm,mom_growth_norm,segment_cat_growth_rate_norm,contribution_cat_growth_norm,seasonality_index_norm,geo_diversity_norm,global_search_volume_avg_norm,market_share_avg_norm,yoy_growth_avg_norm,qoq_growth_avg_norm,mom_growth_avg_norm,segment_cat_growth_rate_avg_norm,contribution_cat_growth_avg_norm,seasonality_index_avg_norm,geo_diversity_avg_norm,peer_comparison_score,peer_comparison_score_norm,search_index,search_index_norm,global_search_volume_norm_norm,market_share_norm_norm,yoy_growth_norm_norm,qoq_growth_norm_norm,mom_growth_norm_norm,contribution_cat_growth_norm_norm,seasonality_index_norm_norm,geo_diversity_norm_norm,peer_comparison_score_norm_norm
mikimoto,Jewelry,2022-08-01,123430,1245700,0.0990848518905033,0.118722691087568,-0.131286786242294,0.8086018760699606,1.0766826346434828,106410.0,0.1599473733671647,137660.0,-0.1033706232747348,0.1317847464188927,103808.33333333331,0.0067801538199171,0.0988623802188137,0.0020402626506999,0.0644855128995571,0.216346157781675,0.3265203893859345,0.5478898495882596,0.1149334981862095,0.8399356103388441,0.0056830243608775,0.0831069719871583,0.002032090906602,0.0606674483606036,0.2270508752073747,0.3265203893859345,0.5478717612348918,0.1056184742753238,0.8686076263080805,1.0269807356066074,0.1268207182942599,0.18353949762033867,0.2288627212110003,0.0067801538199171,0.0988623802188137,0.0020402626506999,0.0644855128995571,0.216346157781675,0.5478898495882596,0.1149334981862095,0.8399356103388441,0.1268207182942599
mikimoto,Jewelry,2022-09-01,137660,1257260,0.1094920700571083,0.118722691087568,-0.1055095477958963,0.8286254264291544,1.1696582195127132,101020.0,0.3627004553553751,131480.0,0.0470033465165804,0.3036631858113708,104771.66666666669,0.0075758126427558,0.1092721683402341,0.0024443864363943,0.0644855128995571,0.2527452998450616,0.3399538074331538,0.5479540169210584,0.1322330577521653,0.8607350834662659,0.0057368883570828,0.0831069719871583,0.0021821253188992,0.0606674483606036,0.2556347503327572,0.3399538074331538,0.5478717612348918,0.1198737316182021,0.8444352499140857,1.0801305164582466,0.1403419100583829,0.1946473420026774,0.2520899639808121,0.0075758126427558,0.1092721683402341,0.0024443864363943,0.0644855128995571,0.2527452998450616,0.5479540169210584,0.1322330577521653,0.8607350834662659,0.1403419100583829
mikimoto,Jewelry,2022-10-01,131480,1253000,0.1049321628092577,0.1288087531098686,-0.1455672465171466,0.8251239267189042,1.0969083059296287,105420.0,0.2472016695124264,137460.0,-0.0435035646733595,0.9602063375092116,104416.66666666669,0.0072302629923593,0.104711135070482,0.0022141763398559,0.0653563441182917,0.2308374262769648,0.319078343443825,0.5481991240040686,0.118696800193594,0.8570978988600113,0.005717038822149,0.0831069719871583,0.0019632279522826,0.0652244248707652,0.2297959446986829,0.319078343443825,0.5478717612348918,0.1059677204714737,0.8670678055482101,1.0644340421637943,0.1363487602174016,0.18908422941197076,0.2404571248580757,0.0072302629923593,0.104711135070482,0.0022141763398559,0.0653563441182917,0.2308374262769648,0.5481991240040686,0.118696800193594,0.8570978988600113,0.1363487602174016
mikimoto,Jewelry,2022-11-01,137460,1426170,0.096384021540209,0.1288087531098686,-0.2032258244735827,0.820620255726047,1.131668496158068,118230.0,0.1626490738391271,153020.0,-0.1016860541105737,-0.6039572864321608,118847.5,0.0075646298061734,0.0961608829264169,0.0020456476313465,0.0653563441182917,0.2167539203246669,0.2890304473781689,0.5476151752076744,0.1251644764359819,0.8524197083238524,0.0065239270767226,0.0831069719871583,0.0018107126108373,0.0652244248707652,0.2083262931618824,0.2890304473781689,0.5478717612348918,0.1188743380146963,0.8394189814505958,1.0602206482651482,0.1352768817266811,0.1860250471761906,0.2340601709557919,0.0075646298061734,0.0961608829264169,0.0020456476313465,0.0653563441182917,0.2167539203246669,0.5476151752076744,0.1251644764359819,0.8524197083238524,0.1352768817266811
mikimoto,Jewelry,2022-12-01,153020,1641360,0.0932275673831456,0.1288087531098686,-0.213384389032929,0.8002606725865906,1.2517229391194094,143650.0,0.0652279846849982,141080.0,0.0846328324354975,1.643859649122807,136780.0,0.0084346544922852,0.0930036493156676,0.001851469673757,0.0653563441182917,0.2618537978493085,0.2837364650623699,0.5484543521159855,0.1475024804408881,0.831271180974895,0.0075266081617932,0.0831069719871583,0.0018917978371774,0.0652244248707652,0.2807177131525333,0.2837364650623699,0.5478717612348918,0.1521483882359193,0.8251158661284644,0.9925707946535524,0.1180669021399255,0.19207991783265368,0.2467213089621084,0.0084346544922852,0.0930036493156676,0.001851469673757,0.0653563441182917,0.2618537978493085,0.5484543521159855,0.1475024804408881,0.831271180974895,0.1180669021399255
mikimoto,Jewelry,2023-01-01,141080,1391780,0.1013665952952334,-0.0551474073371883,-0.1687093845565749,0.8162435049831069,1.1369396595144556,119000.0,0.1855462184873949,126300.0,0.1170229612034837,0.2963758389261745,115981.66666666669,0.0077670391483151,0.1011446870764624,0.0020912858070334,0.0494735578493144,0.2696940703387125,0.3070181681292136,0.5479512963377529,0.1261452586982711,0.8478733562618962,0.0063636863475271,0.0831069719871583,0.0020231134263266,0.0490412972176805,0.2737486763643764,0.3070181681292136,0.5478717612348918,0.1177032363229445,0.8591254523276165,1.0317419492427178,0.1280319609668027,0.19191409839389204,0.2463745694663522,0.0077670391483151,0.1011446870764624,0.0020912858070334,0.0494735578493144,0.2696940703387125,0.5479512963377529,0.1261452586982711,0.8478733562618962,0.1280319609668027
mikimoto,Jewelry,2023-02-01,126300,1250720,0.1009818344633491,-0.0551474073371883,-0.1818033140786194,0.8330420789270604,1.0067287956584987,109880.0,0.1494357480888241,131310.0,-0.0381539867489147,0.1784006953498479,104226.66666666669,0.0069406275248748,0.1007598312318728,0.0020193110688071,0.0494735578493144,0.2321323315529328,0.3001944647477898,0.5479072527082749,0.1019174939729516,0.8653228834965028,0.0057064151273958,0.0831069719871583,0.0019815817670363,0.0490412972176805,0.2223123297589568,0.3001944647477898,0.5478717612348918,0.0932968511042925,0.8722073038797075,1.0408003088455595,0.1303363884789367,0.18494345978047044,0.2317984996402391,0.0069406275248748,0.1007598312318728,0.0020193110688071,0.0494735578493144,0.2321323315529328,0.5479072527082749,0.1019174939729516,0.8653228834965028,0.1303363884789367
mikimoto,Jewelry,2023-03-01,131310,1301740,0.1008726781077634,-0.0551474073371883,-0.1937893276519843,0.837896319508955,1.0308255920450085,108180.0,0.213810316139767,133230.0,-0.0144111686557081,0.1293262510483645,108478.33333333331,0.0072207575812642,0.1006506479212548,0.0021476212966374,0.0494735578493144,0.2378794579336429,0.2939481350105888,0.5478889317588262,0.1064010792606747,0.8703652283717112,0.0059441435950769,0.0831069719871583,0.0021358335539263,0.0490412972176805,0.2568123371572887,0.2939481350105888,0.5478717612348918,0.1072846373018627,0.8682317905581115,1.0094103373337002,0.1223508461590737,0.18562361054830034,0.2332207402173197,0.0072207575812642,0.1006506479212548,0.0021476212966374,0.0494735578493144,0.2378794579336429,0.5478889317588262,0.1064010792606747,0.8703652283717112,0.1223508461590737
mikimoto,Jewelry,2023-04-01,133230,1300840,0.1024184373174256,0.043141287717274,-0.1632693754944779,0.826047324708624,1.0323372162099336,113150.0,0.1774635439681838,147890.0,-0.0991277300696463,0.1054788044334716,108403.33333333331,0.0073281128124554,0.1021967888401558,0.0020751755659796,0.0579598098585587,0.2173731817589373,0.3098531465953426,0.5478800287978223,0.1066823405436152,0.8580570789918341,0.0059399500313585,0.0831069719871583,0.0020551312501779,0.0551005641136598,0.2252266972805011,0.3098531465953426,0.5478717612348918,0.0954257095224032,0.8737385865161506,1.034882589411937,0.1288309331790994,0.18358329872037688,0.2289543122298473,0.0073281128124554,0.1021967888401558,0.0020751755659796,0.0579598098585587,0.2173731817589373,0.5478800287978223,0.1066823405436152,0.8580570789918341,0.1288309331790994
mikimoto,Jewelry,2023-05-01,147890,1384100,0.1068492160971028,0.043141287717274,-0.2163490391910407,0.8165308146138134,1.1224905440791388,115550.0,0.2798788403288619,134770.0,0.0973510425168806,0.5702697936871803,115341.66666666669,0.0081478147339463,0.1066286617547957,0.002279307887286,0.0579598098585587,0.2649323355522547,0.2821914824599672,0.5480535490962074,0.1234567751194885,0.8481717992870305,0.0063279012704634,0.0831069719871583,0.0018983303230249,0.0551005641136598,0.2528799208789891,0.2821914824599671,0.5478717612348918,0.1078607056507285,0.86756727402178,1.1054751535660448,0.1467895321000094,0.19503308480185372,0.2528965778776922,0.0081478147339463,0.1066286617547957,0.002279307887286,0.0579598098585587,0.2649323355522547,0.5480535490962074,0.1234567751194885,0.8481717992870305,0.1467895321000094
